Methods;Nb_layers;Id;Sep;Stab;Coh;Cong;Sel;Acu;Verm_stab;Fid;Com
LIME;1;1.0(0.0);1.0(0.0);1.0(0.0);0.38(0.14);0.33(0.07);0.59(0.08);0.02(0.01);0.77(0.03);0.71(0.09);0.01(0.01)
;2;1.0(0.0);1.0(0.0);1.0(0.0);0.35(0.14);0.32(0.06);0.58(0.08);0.02(0.01);0.76(0.03);0.64(0.25);0.06(0.1)
;3;1.0(0.0);1.0(0.0);1.0(0.0);0.0(0.0);0.0(0.0);0.42(0.03);0.3(0.07);0.68(0.08);0.94(0.0);1.0(0.0)
;4;1.0(0.0);1.0(0.0);1.0(0.0);0.38(0.14);0.33(0.05);0.51(0.06);0.05(0.04);0.8(0.05);0.46(0.29);0.06(0.05)
SHAP;1;1.0(0.0);1.0(0.0);1.0(0.0);0.38(0.14);0.33(0.07);0.88(0.02);0.46(0.02);1.0(0.0);0.84(0.04);0.01(0.02)
;2;1.0(0.0);1.0(0.0);1.0(0.0);0.35(0.14);0.31(0.06);0.89(0.04);0.44(0.06);1.0(0.0);0.88(0.02);0.13(0.15)
;3;1.0(0.0);0.95(0.11);1.0(0.0);0.0(0.0);0.0(0.0);0.67(0.13);0.61(0.05);1.0(0.0);1.0(0.0);1.0(0.0)
;4;1.0(0.0);1.0(0.0);1.0(0.0);0.36(0.13);0.32(0.05);0.75(0.02);0.44(0.02);1.0(0.0);0.89(0.01);0.17(0.08)
L2X;1;1.0(0.0);1.0(0.0);1.0(0.0);0.49(0.18);0.38(0.06);0.58(0.03);0.04(0.02);1.0(0.0);0.83(0.05);0.14(0.24)
;2;1.0(0.0);1.0(0.0);1.0(0.0);0.45(0.17);0.36(0.05);0.6(0.03);0.04(0.02);1.0(0.0);0.87(0.02);0.18(0.15)
;3;1.0(0.0);1.0(0.0);1.0(0.0);0.0(0.0);0.0(0.0);0.45(0.1);0.04(0.02);1.0(0.0);1.0(0.0);1.0(0.0)
;4;1.0(0.0);1.0(0.0);1.0(0.0);0.42(0.15);0.36(0.05);0.6(0.04);0.05(0.01);1.0(0.0);0.88(0.01);0.29(0.3)
