,identity,separability,stability,coherence,completness,congruence,selectivity,accumen,Verm_stability,fidelity,sparsity,instability,alpha,upper,sequence_length,explainer,model
0,1.0,1.0,1.0,0.4113919138908386,0.03031037747859955,0.34286928176879883,0.5876679480075836,0.02081145584725538,0.6189268292682927,-0.4983046174049377,0.023809523809523808,0.41954630503703016,0.3,130,30,lime,model_1l
0,1.0,1.0,1.0,0.41133299469947815,0.0032106321305036545,0.3425418436527252,0.8415358498692512,0.5320286396181384,1.0,0.23618283867835999,0.023809523809523808,0.28276631236076355,0.3,130,30,shap,model_1l
0,1.0,1.0,1.0,0.5443616636252797,0.07303329621967104,0.44133952617154465,0.6653199583292008,0.03751789976133653,1.0,0.2057137310504913,0.023809523809523808,0.42222195863723755,0.3,130,30,l2x,model_1l
0,1.0,1.0,1.0,0.42038002610206604,0.00027255891473032534,0.32232263684272766,0.5011233747005462,0.007732696897374712,0.7869268292682927,0.0777723073959351,0.023809523809523808,0.4323565925416271,0.3,130,30,lime,model_2l
0,1.0,1.0,1.0,0.4185303747653961,0.05106302350759506,0.32183533906936646,0.8902819216251373,0.5072076372315035,1.0,0.38410548567771907,0.023809523809523808,0.4585952162742615,0.3,130,30,shap,model_2l
0,1.0,1.0,1.0,0.5187105357054331,0.025203135714270918,0.4155302382150253,0.6238392889499664,0.08219570405727925,1.0,0.3166388213634491,0.023809523809523808,0.4571422040462494,0.3,130,30,l2x,model_2l
0,1.0,1.0,1.0,0.4354742169380188,0.0107986219227314,0.34000203013420105,0.4956876695156097,0.011583134447096266,0.8238048780487806,0.05114570856094358,0.023809523809523808,0.3652433202484955,0.3,130,30,lime,model_3l
0,1.0,1.0,1.0,0.4338917136192322,0.05662861466407776,0.33839938044548035,0.894638616591692,0.4751312649164678,1.0,0.25509436130523677,0.023809523809523808,0.4411942958831787,0.3,130,30,shap,model_3l
0,1.0,1.0,1.0,0.5083130608110296,0.17895034481716415,0.42200148952867633,0.5393594145774842,0.025680190930787595,1.0,0.16976892948150635,0.023809523809523808,0.460000216960907,0.3,130,30,l2x,model_3l
0,1.0,1.0,1.0,0.43196362257003784,0.011228217743337154,0.32298871874809265,0.4698136270046234,0.012028639618138442,0.7213658536585366,0.1130024373531342,0.023809523809523808,0.3489366107543505,0.3,130,30,lime,model_4l
0,1.0,1.0,1.0,0.4258950352668762,0.36134594678878784,0.3200352191925049,0.7308271735906601,0.4701670644391408,1.0,0.32529303431510925,0.023809523809523808,0.4361010491847992,0.3,130,30,shap,model_4l
0,1.0,1.0,1.0,0.48950120300844696,0.07332916420469769,0.41155348332292097,0.5144730150699616,0.03541766109785203,1.0,0.24104763269424434,0.023809523809523808,0.47142863273620605,0.3,130,30,l2x,model_4l
