,identity,separability,stability,coherence,completness,congruence,selectivity,accumen,Verm_stability,fidelity,sparsity,instability,alpha,upper,sequence_length,explainer,model
0,1.0,1.0,1.0,0.39657461643218994,0.8598583936691284,0.23171201348304749,0.6000592827796936,0.010348623853210986,0.7453358208955224,0.03860912322998045,0.018315018315018316,0.4966260726704256,0.2,125,39,lime,model_1l
0,1.0,1.0,1.0,0.07911749184131622,1.3841758966445923,0.15281645953655243,0.6025966078042984,0.48444036697247705,1.0,0.6911148491461063,0.018315018315018316,0.5254499912261963,0.2,125,39,shap,model_1l
0,1.0,1.0,1.0,0.3179760831812839,4.8163005259734115,0.1577443520144214,0.620164567232132,0.01959633027522933,1.0,0.026010549068450906,0.018315018315018316,0.6564102172851562,0.2,125,39,l2x,model_1l
0,1.0,1.0,1.0,0.23272474110126495,2.56463360786438,0.21566686034202576,0.6633640110492707,0.07970642201834863,0.6047611940298506,0.08415846824646,0.018315018315018316,0.3319641411192234,0.2,125,39,lime,model_1l
0,1.0,1.0,1.0,0.004814875777810812,0.6761747002601624,0.005960599519312382,0.6535763144493103,0.49001834862385324,1.0,0.7190738268196583,0.0,0.5014997124671936,0.2,125,39,shap,model_1l
0,1.0,1.0,1.0,0.1850487398776982,17.869755471257918,0.16272648120762784,0.6283258616924285,0.041394495412844005,1.0,0.20727864503860471,0.018315018315018316,0.5600008964538574,0.2,125,39,l2x,model_1l
0,1.0,1.0,1.0,0.17084284126758575,0.5723775029182434,0.19901596009731293,0.679362279176712,0.05761467889908255,0.5640149253731341,0.10317409038543701,0.018315018315018316,0.3992972725997017,0.2,125,39,lime,model_1l
0,1.0,1.0,1.0,0.12845775485038757,0.7201156616210938,0.2084001749753952,0.6572584629058837,0.450788990825688,1.0,0.405441302061081,0.007326007326007326,0.3387645184993744,0.2,125,39,shap,model_1l
0,1.0,1.0,1.0,0.20238398347692027,29.54741083939289,0.22614887335818806,0.6377729296684265,0.04396330275229356,1.0,0.2655148029327392,0.018315018315018316,0.4666669964790344,0.2,125,39,l2x,model_1l
0,1.0,1.0,1.0,0.38132956624031067,0.11598988622426987,0.28651493787765503,0.5907039940357208,0.17812844036697242,0.5966119402985074,0.06092207431793217,0.018315018315018316,0.3497527573585111,0.2,125,39,lime,model_1l
0,1.0,1.0,1.0,0.14074890315532684,0.8045495748519897,0.2814978063106537,0.513080257177353,0.48477064220183486,1.0,0.5669518411159515,0.0,0.5174768567085266,0.2,125,39,shap,model_1l
0,1.0,1.0,1.0,0.31360608781880533,0.6938066408439922,0.2465180340134005,0.6741841644048691,0.03141284403669722,1.0,-0.046174681186676114,0.018315018315018316,0.5600006580352783,0.2,125,39,l2x,model_1l
0,1.0,1.0,1.0,0.3303695619106293,0.8600877523422241,0.3370135724544525,0.5995029747486115,0.009541284403669699,0.7820074626865672,-0.046700012683868364,0.018315018315018316,0.5246863187649331,0.2,125,39,lime,model_1l
0,1.0,1.0,1.0,0.03473168611526489,1.1510143280029297,0.06328178942203522,0.5575063794851303,0.4662018348623853,1.0,0.6101212739944458,0.0,0.49984195828437805,0.2,125,39,shap,model_1l
0,1.0,1.0,1.0,0.2926174127253423,2.4070851489654013,0.29550295589270903,0.5845875084400177,0.017467889908256855,1.0,0.02250539064407353,0.018315018315018316,0.6000005602836609,0.2,125,39,l2x,model_1l
